# xollvm SLE pool v1 — nonlinear-lifted SLE runtime-zero forms
# basis order: one x y and or xor nx ny nand nor xnor xany nxay
# line: <base:add|sub> <lift:cube|pow4|prodsq> <13 int coeffs of spelling f>
#   zero(x,y) = lift(f) - lift(canonical(base)),  f == canonical(base)
sub cube 0 3 0 0 -3 0 3 -3 0 0 0 4 -1
sub prodsq 0 2 0 0 -3 3 0 0 -1 0 1 0 0
sub cube 0 -1 0 3 0 0 2 0 0 0 -2 2 -3
add cube 3 -1 -1 2 0 1 0 -2 0 0 -1 0 -2
add pow4 -2 0 0 3 0 3 0 0 0 1 1 0 0
add cube 4 0 -4 2 0 1 0 -3 0 -1 0 -1 0
sub cube 0 -6 2 7 0 0 0 5 -2 0 -3 4 -1
sub cube 3 0 0 -3 0 0 0 -3 0 0 0 1 -4
sub cube 2 -3 0 1 0 0 0 0 1 -3 0 1 -4
sub pow4 0 0 0 -3 3 0 0 3 -3 0 0 -2 -1
add pow4 0 0 0 2 1 1 0 -2 0 3 -1 1 -1
add cube 0 0 1 3 0 1 -2 0 0 4 -2 0 1
add prodsq 3 0 0 2 -3 0 -4 -1 2 0 0 0 3
add pow4 0 3 -3 2 0 2 6 0 -4 -2 0 0 0
add pow4 0 0 0 -4 0 1 -6 -6 6 0 6 0 0
